"time_hours","variable","Family","SangerID","value"
16,"acetate (mM)","Pseudomonadaceae",290,0.045558306
16,"acetate (mM)","Pseudomonadaceae",444,0.088864755
16,"acetate (mM)","Pseudomonadaceae",294,0
16,"acetate (mM)","Enterobacteriaceae",295,9.087945009
16,"acetate (mM)","Enterobacteriaceae",303,8.143864405
16,"acetate (mM)","Pseudomonadaceae",304,0
16,"acetate (mM)","Enterobacteriaceae",305,7.736783778
16,"acetate (mM)","Enterobacteriaceae",308,7.44229992
16,"acetate (mM)","Enterobacteriaceae",310,7.139154772
16,"acetate (mM)","Enterobacteriaceae",311,8.64935958
16,"acetate (mM)","Pseudomonadaceae",316,0.010913146
16,"acetate (mM)","Enterobacteriaceae",317,7.944654736
16,"acetate (mM)","Enterobacteriaceae",320,7.572219269
16,"acetate (mM)","Pseudomonadaceae",321,0.348703454
16,"acetate (mM)","Enterobacteriaceae",322,6.948606393
16,"acetate (mM)","Pseudomonadaceae",325,0.236106684
16,"acetate (mM)","Enterobacteriaceae",448,6.896638653
16,"acetate (mM)","Pseudomonadaceae",449,0.296735714
28,"acetate (mM)","Pseudomonadaceae",326,0.585099089
28,"acetate (mM)","Enterobacteriaceae",327,7.207299012
28,"acetate (mM)","Enterobacteriaceae",332,13.61198142
28,"acetate (mM)","Pseudomonadaceae",335,0.17423267
28,"acetate (mM)","Moraxellaceae",336,0.464256024
28,"acetate (mM)","Enterobacteriaceae",338,5.733013628
28,"acetate (mM)","Enterobacteriaceae",340,7.642334044
28,"acetate (mM)","Enterobacteriaceae",461,6.941444271
28,"acetate (mM)","Enterobacteriaceae",280,8.826596074
28,"acetate (mM)","Aeromonadaceae",343,11.94434714
28,"acetate (mM)","Enterobacteriaceae",344,12.2585391
28,"acetate (mM)","Enterobacteriaceae",345,8.778258848
28,"acetate (mM)","Enterobacteriaceae",346,14.67540039
28,"acetate (mM)","Enterobacteriaceae",348,13.90200478
28,"acetate (mM)","Pseudomonadaceae",350,0.17423267
28,"acetate (mM)","Moraxellaceae",453,0
28,"acetate (mM)","Moraxellaceae",454,0.464256024
28,"acetate (mM)","Enterobacteriaceae",458,10.13170117
28,"acetate (mM)","Enterobacteriaceae",460,13.201115
28,"acetate (mM)","Pseudomonadaceae",352,0.319244347
28,"acetate (mM)","Enterobacteriaceae",356,9.019944977
28,"acetate (mM)","Pseudomonadaceae",462,0.270907121
28,"acetate (mM)","Enterobacteriaceae",358,7.352310689
28,"acetate (mM)","Enterobacteriaceae",360,6.603083691
28,"acetate (mM)","Enterobacteriaceae",259,17.93816313
28,"acetate (mM)","Enterobacteriaceae",364,6.651420916
28,"acetate (mM)","Pseudomonadaceae",428,0.246738508
28,"acetate (mM)","Pseudomonadaceae",432,0.295075734
28,"acetate (mM)","Pseudomonadaceae",267,0.464256024
28,"acetate (mM)","Enterobacteriaceae",269,9.672497524
28,"acetate (mM)","Enterobacteriaceae",270,17.35811642
28,"acetate (mM)","Enterobacteriaceae",435,18.95324487
28,"acetate (mM)","Pseudomonadaceae",272,0.295075734
28,"acetate (mM)","Enterobacteriaceae",273,10.44589314
28,"acetate (mM)","Pseudomonadaceae",274,0.585099089
28,"acetate (mM)","Enterobacteriaceae",438,9.237462493
28,"acetate (mM)","Enterobacteriaceae",439,17.21310474
28,"acetate (mM)","Enterobacteriaceae",283,14.67540039
28,"acetate (mM)","Enterobacteriaceae",284,6.337228949
28,"acetate (mM)","Enterobacteriaceae",286,14.55455732
28,"acetate (mM)","Enterobacteriaceae",287,8.222380752
28,"acetate (mM)","Enterobacteriaceae",440,9.358305557
28,"acetate (mM)","Pseudomonadaceae",441,0.319244347
28,"acetate (mM)","Enterobacteriaceae",442,14.65123178
28,"acetate (mM)","Enterobacteriaceae",160,11.43680627
28,"acetate (mM)","Enterobacteriaceae",165,9.769171975
28,"acetate (mM)","Enterobacteriaceae",169,11.24345736
28,"acetate (mM)","Pseudomonadaceae",523,0.440087411
28,"acetate (mM)","Enterobacteriaceae",276,13.61198142
28,"acetate (mM)","Enterobacteriaceae",277,11.63015517
28,"acetate (mM)","Enterobacteriaceae",278,15.06209819
28,"acetate (mM)","Enterobacteriaceae",288,11.48514349
28,"acetate (mM)","Enterobacteriaceae",289,15.83549381
28,"acetate (mM)","Pseudomonadaceae",290,0.077558218
28,"acetate (mM)","Pseudomonadaceae",444,0.101726831
28,"acetate (mM)","Pseudomonadaceae",294,0
28,"acetate (mM)","Enterobacteriaceae",295,9.962520877
28,"acetate (mM)","Enterobacteriaceae",303,9.019944977
28,"acetate (mM)","Pseudomonadaceae",304,0.415918799
28,"acetate (mM)","Enterobacteriaceae",305,8.8749333
28,"acetate (mM)","Enterobacteriaceae",308,8.294886591
28,"acetate (mM)","Enterobacteriaceae",310,8.149874914
28,"acetate (mM)","Enterobacteriaceae",311,8.222380752
28,"acetate (mM)","Pseudomonadaceae",316,0.754279379
28,"acetate (mM)","Enterobacteriaceae",317,8.923270525
28,"acetate (mM)","Enterobacteriaceae",320,7.303973464
28,"acetate (mM)","Pseudomonadaceae",321,1.213483023
28,"acetate (mM)","Enterobacteriaceae",322,7.666502657
28,"acetate (mM)","Pseudomonadaceae",325,1.3584947
28,"acetate (mM)","Enterobacteriaceae",448,7.448985141
28,"acetate (mM)","Pseudomonadaceae",449,0.85095383
48,"acetate (mM)","Pseudomonadaceae",326,0.070743771
48,"acetate (mM)","Enterobacteriaceae",327,6.075768773
48,"acetate (mM)","Enterobacteriaceae",332,20.13459201
48,"acetate (mM)","Pseudomonadaceae",335,0
48,"acetate (mM)","Moraxellaceae",336,0.047194654
48,"acetate (mM)","Enterobacteriaceae",338,6.028670537
48,"acetate (mM)","Enterobacteriaceae",340,7.276773773
48,"acetate (mM)","Enterobacteriaceae",461,6.947086126
48,"acetate (mM)","Enterobacteriaceae",280,8.40713142
48,"acetate (mM)","Aeromonadaceae",343,10.12621701
48,"acetate (mM)","Enterobacteriaceae",344,14.01182142
48,"acetate (mM)","Enterobacteriaceae",345,7.771305244
48,"acetate (mM)","Enterobacteriaceae",346,26.5164029
48,"acetate (mM)","Enterobacteriaceae",348,16.88481378
48,"acetate (mM)","Pseudomonadaceae",350,0
48,"acetate (mM)","Moraxellaceae",453,0.188489359
48,"acetate (mM)","Moraxellaceae",454,0
48,"acetate (mM)","Enterobacteriaceae",458,8.501327891
48,"acetate (mM)","Enterobacteriaceae",460,13.35244613
48,"acetate (mM)","Pseudomonadaceae",352,0
48,"acetate (mM)","Enterobacteriaceae",356,7.630010538
48,"acetate (mM)","Pseudomonadaceae",462,0
48,"acetate (mM)","Enterobacteriaceae",358,7.700657891
48,"acetate (mM)","Enterobacteriaceae",360,13.82342848
48,"acetate (mM)","Enterobacteriaceae",259,26.21026437
48,"acetate (mM)","Enterobacteriaceae",364,4.49797789
